Bouteloa gracilis,Hechtia,Hibiscus,Yucca periculosa,Aeschinomene compacta,Lippia graveolens,Cnidosculus tehuacanensis,Ruelia,Ipomea sp,Justicia mexicana,Ruelia hirsutoglandulosa,Lantana achirantifolia,Calliandra eriophylla,Echinopterix eglandulosa,Neobuxbaumia mezcalaensis,Opuntia decumbens
True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False
True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,True,True,False,True,False,False,False,True,True
True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
False,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False
False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True
True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False
True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False
True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False
True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
False,True,True,True,False,False,False,True,True,False,False,True,False,False,True,True
True,False,True,True,True,True,False,True,False,True,True,False,False,False,True,False
True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False
False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False
True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False
True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False
True,False,False,False,True,False,False,True,False,True,True,False,False,True,True,False
True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False
True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
True,False,False,False,False,False,False,True,True,False,True,False,True,False,True,False
True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False
True,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False
True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False
True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True
True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False
True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False
True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False
True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False
True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False
True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False
False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False
True,False,False,False,False,True,False,True,True,True,True,False,False,False,True,True
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False
False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False
True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
True,False,False,True,True,False,True,True,False,True,True,True,True,False,True,False
True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False
True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False
True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,False
True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True
True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,True,False,True,True,True,False,True,True,False
True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,True,True,True,False,True,False,True,True,False,False,False,True,False
False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,True,True,True,False,True,False,False,True,True,False,False,False,False
False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False
True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False
True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False
False,False,False,True,True,False,False,True,False,True,True,True,False,False,True,False
True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False
True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False
False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False
False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True
True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False
True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False
True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False
True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False
False,False,True,False,True,True,False,True,False,True,False,False,False,True,False,False
True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False
True,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False
True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True
True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False
True,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,True,True,False,True,True,False,True,True,False,True,False,True
True,False,False,False,True,True,True,True,False,False,False,True,False,True,True,True
True,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False
True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False
True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
True,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False
True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
True,True,False,True,True,True,True,False,False,True,False,True,False,False,True,False
True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False
True,False,False,True,True,True,False,True,False,True,False,False,True,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False
True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False
True,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False
True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True
True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,True,True,False,False,True,False,True,False,False,True,False,True
True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False
True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False
True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
True,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False
False,False,False,True,False,False,False,False,True,True,False,True,True,True,True,False
True,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True
True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False
False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False
False,False,False,True,False,False,False,False,True,True,False,True,False,True,True,False
False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False
True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False
True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False
False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False
True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False
False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False
False,False,True,True,False,False,True,False,True,False,True,False,True,True,True,False
True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False
True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False
True,False,False,True,False,True,False,True,True,False,True,False,False,True,False,False
False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True
True,False,False,True,False,True,True,False,True,False,False,False,False,True,True,False
True,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False
False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False
False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,False
True,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False
True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False
True,False,True,True,False,False,False,True,True,False,False,True,False,True,False,True
True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True
True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False
True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True
True,False,False,False,False,True,False,True,True,True,False,False,True,True,False,False
True,False,False,False,False,True,False,True,True,True,True,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False
False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False
False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True
True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
True,False,True,False,True,True,True,False,False,False,False,False,True,False,True,True
True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True
False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True
True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True
True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False
True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
True,False,False,True,False,True,True,True,False,False,False,False,True,False,True,False
True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True
True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True
True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False
True,False,False,True,True,True,False,True,False,True,False,False,False,False,True,False
True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False
True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True
True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
True,False,False,False,True,False,False,True,True,False,True,False,False,False,True,False
True,True,False,True,True,False,False,True,False,True,False,True,False,False,True,False
False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False
False,False,False,True,True,True,False,True,True,True,False,False,True,False,False,False
True,False,False,True,True,True,False,False,False,True,True,False,False,False,True,False
True,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False
True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False
True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False
False,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False
True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True
True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False
True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False
True,False,False,True,False,True,True,False,True,False,False,False,False,True,True,False
True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
True,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False
True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False
False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True
True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True
False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True
True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False
False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False
True,False,False,False,True,True,False,True,True,True,True,False,False,False,True,False
True,True,True,False,True,True,False,True,False,True,True,False,False,True,True,False
False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False
True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
True,False,False,False,True,True,True,False,False,True,False,False,False,True,True,False
True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False
False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
True,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False
True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True
True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True
True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False
True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False
True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False
True,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True
True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False
False,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False
